,dateTime,eur
159,2024-09-08 11:00:00,6.20721
160,2024-09-08 17:00:00,6.20721
161,2024-09-08 23:00:00,6.20436
162,2024-09-09 11:00:00,6.19544
163,2024-09-09 17:00:00,6.16451
164,2024-09-09 23:00:00,6.16462
165,2024-09-10 11:00:00,6.18891
166,2024-09-10 17:00:00,6.23457
167,2024-09-10 23:00:00,6.24969
168,2024-09-11 11:00:00,6.2135
169,2024-09-11 17:00:00,6.23309
170,2024-09-11 23:00:00,6.24305
171,2024-09-12 11:00:00,6.24409
172,2024-09-12 17:00:00,6.21913
173,2024-09-12 23:00:00,6.23598
174,2024-09-13 11:00:00,6.18266
175,2024-09-13 17:00:00,6.16489
176,2024-09-13 23:00:00,6.16356
177,2024-09-14 11:00:00,6.16356
178,2024-09-14 17:00:00,6.16356
179,2024-09-14 23:00:00,6.16356
