date,eur,diff,lag4,lag6
2023-09-28 00:00:00+00:00,1.6676011545982667,0.005377262385971582,1.6595243788976877,1.660697406250418
2023-09-29 00:00:00+00:00,1.6710107903958855,0.0034096357976187708,1.659219965471466,1.6595243788976877
2023-09-30 00:00:00+00:00,1.6721723071137924,0.0011615167179068742,1.6610241639055336,1.6595243788976877
2023-10-01 00:00:00+00:00,1.6721723071137924,0.0,1.6622238922122952,1.659219965471466
2023-10-02 00:00:00+00:00,1.6706891614081345,-0.0014831457056578845,1.6676011545982667,1.6610241639055336
2023-10-03 00:00:00+00:00,1.6689814795331597,-0.0017076818749748313,1.6710107903958855,1.6622238922122952
2023-10-04 00:00:00+00:00,1.6882620317765304,0.019280552243370774,1.6721723071137924,1.6676011545982667
2023-10-05 00:00:00+00:00,1.6895200039474678,0.0012579721709373715,1.6721723071137924,1.6710107903958855
2023-10-06 00:00:00+00:00,1.6954155886724855,0.005895584725017722,1.6706891614081345,1.6721723071137924
2023-10-07 00:00:00+00:00,1.6950117566684515,-0.00040383200403404373,1.6689814795331597,1.6721723071137924
2023-10-08 00:00:00+00:00,1.6950117566684515,0.0,1.6882620317765304,1.6706891614081345
2023-10-09 00:00:00+00:00,1.6936044132649053,-0.0014073434035462018,1.6895200039474678,1.6689814795331597
2023-10-10 00:00:00+00:00,1.6927067950197747,-0.0008976182451305714,1.6954155886724855,1.6882620317765304
2023-10-11 00:00:00+00:00,1.6784003834589625,-0.014306411560812249,1.6950117566684515,1.6895200039474678
2023-10-12 00:00:00+00:00,1.6799392456204136,0.00153886216145116,1.6950117566684515,1.6954155886724855
2023-10-13 00:00:00+00:00,1.671106694807468,-0.00883255081294565,1.6936044132649053,1.6950117566684515
2023-10-14 00:00:00+00:00,1.674654328748807,0.0035476339413389457,1.6927067950197747,1.6950117566684515
2023-10-15 00:00:00+00:00,1.674654328748807,0.0,1.6784003834589625,1.6936044132649053
2023-10-16 00:00:00+00:00,1.6764234372147233,0.0017691084659163803,1.6799392456204136,1.6927067950197747
2023-10-17 00:00:00+00:00,1.6711743865019109,-0.005249050712812453,1.671106694807468,1.6784003834589625
2023-10-18 00:00:00+00:00,1.6728558059029683,0.0016814194010574823,1.674654328748807,1.6799392456204136
2023-10-19 00:00:00+00:00,1.673730153247162,0.0008743473441936711,1.674654328748807,1.671106694807468
2023-10-20 00:00:00+00:00,1.6792717635318817,0.005541610284719667,1.6764234372147233,1.674654328748807
2023-10-21 00:00:00+00:00,1.6740076830834003,-0.0052640804484813675,1.6711743865019109,1.674654328748807
2023-10-22 00:00:00+00:00,1.6740076830834003,0.0,1.6728558059029683,1.6764234372147233
2023-10-23 00:00:00+00:00,1.6733024565001415,-0.0007052265832587779,1.673730153247162,1.6711743865019109
2023-10-24 00:00:00+00:00,1.6771339433867518,0.0038314868866102803,1.6792717635318817,1.6728558059029683
2023-10-25 00:00:00+00:00,1.6658031228825103,-0.011330820504241501,1.6740076830834003,1.673730153247162
2023-10-26 00:00:00+00:00,1.6638276080197345,-0.001975514862775807,1.6740076830834003,1.6792717635318817
2023-10-27 00:00:00+00:00,1.6616507838810346,-0.0021768241386999065,1.6733024565001415,1.6740076830834003
2023-10-28 00:00:00+00:00,1.6674803798279694,0.0058295959469347736,1.6771339433867518,1.6740076830834003
2023-10-29 00:00:00+00:00,1.6674803798279694,0.0,1.6658031228825103,1.6733024565001415
2023-10-30 00:00:00+00:00,1.6671613888183572,-0.0003189910096121906,1.6638276080197345,1.6771339433867518
2023-10-31 00:00:00+00:00,1.6784825159162624,0.011321127097905226,1.6616507838810346,1.6658031228825103
2023-11-01 00:00:00+00:00,1.672696239472779,-0.005786276443483507,1.6674803798279694,1.6638276080197345
2023-11-02 00:00:00+00:00,1.6572123228050286,-0.015483916667750286,1.6674803798279694,1.6616507838810346
2023-11-03 00:00:00+00:00,1.6599960366502715,0.0027837138452428967,1.6671613888183572,1.6674803798279694
2023-11-04 00:00:00+00:00,1.6602336830772355,0.00023764642696399996,1.6784825159162624,1.6674803798279694
2023-11-05 00:00:00+00:00,1.6602336830772355,0.0,1.672696239472779,1.6671613888183572
2023-11-06 00:00:00+00:00,1.6601253233113007,-0.00010835976593481789,1.6572123228050286,1.6784825159162624
2023-11-07 00:00:00+00:00,1.6557564532288462,-0.004368870082454457,1.6599960366502715,1.672696239472779
2023-11-08 00:00:00+00:00,1.6509732524629384,-0.00478320076590788,1.6602336830772355,1.6572123228050286
2023-11-09 00:00:00+00:00,1.660030261216669,0.009057008753730722,1.6602336830772355,1.6599960366502715
2023-11-10 00:00:00+00:00,1.6608114036058028,0.0007811423891337377,1.6601253233113007,1.6602336830772355
2023-11-11 00:00:00+00:00,1.6557545437514414,-0.00505685985436144,1.6557564532288462,1.6602336830772355
2023-11-12 00:00:00+00:00,1.6557545437514414,0.0,1.6509732524629384,1.6601253233113007
2023-11-13 00:00:00+00:00,1.6564092807395046,0.0006547369880631759,1.660030261216669,1.6557564532288462
2023-11-14 00:00:00+00:00,1.6587022498798991,0.002292969140394563,1.6608114036058028,1.6509732524629384
2023-11-15 00:00:00+00:00,1.6665004327875268,0.007798182907627682,1.6557545437514414,1.660030261216669
2023-11-16 00:00:00+00:00,1.6634297624429812,-0.0030706703445455563,1.6557545437514414,1.6608114036058028
2023-11-17 00:00:00+00:00,1.663681749685803,0.00025198724282171625,1.6564092807395046,1.6557545437514414
2023-11-18 00:00:00+00:00,1.677909314646247,0.014227564960443972,1.6587022498798991,1.6557545437514414
