date,usd,diff,lag,eur,eurDiff
2023-09-28 00:00:00+00:00,1.618239068387169,0.011354412740785857,1.596737603855868,1.6676011545982667,0.005377262385971582
2023-09-29 00:00:00+00:00,1.6163340791219418,-0.0019049892652271971,1.596737603855868,1.6710107903958855,0.0034096357976187708
2023-09-30 00:00:00+00:00,1.6162645577763777,-6.952134556414968e-05,1.596737603855868,1.6721723071137924,0.0011615167179068742
2023-10-01 00:00:00+00:00,1.6162645577763777,0.0,1.5964337232988464,1.6721723071137924,0.0
2023-10-02 00:00:00+00:00,1.6159168785318094,-0.00034767924456824417,1.603510379269301,1.6706891614081345,-0.0014831457056578845
2023-10-03 00:00:00+00:00,1.6220974413808549,0.006180562849045446,1.6068846556463832,1.6689814795331597,-0.0017076818749748313
2023-10-04 00:00:00+00:00,1.6424277152597575,0.020330273878902627,1.618239068387169,1.6882620317765304,0.019280552243370774
2023-10-05 00:00:00+00:00,1.6400641059758612,-0.0023636092838963396,1.6163340791219418,1.6895200039474678,0.0012579721709373715
2023-10-06 00:00:00+00:00,1.6422535413757235,0.0021894353998623828,1.6162645577763777,1.6954155886724855,0.005895584725017722
2023-10-07 00:00:00+00:00,1.6380642412224231,-0.004189300153300435,1.6162645577763777,1.6950117566684515,-0.00040383200403404373
2023-10-08 00:00:00+00:00,1.6380642412224231,0.0,1.6159168785318094,1.6950117566684515,0.0
2023-10-09 00:00:00+00:00,1.6384528775026248,0.00038863628020169294,1.6220974413808549,1.6936044132649053,-0.0014073434035462018
2023-10-10 00:00:00+00:00,1.6364205837639874,-0.0020322937386374473,1.6424277152597575,1.6927067950197747,-0.0008976182451305714
2023-10-11 00:00:00+00:00,1.6197545128360504,-0.016666070927936927,1.6400641059758612,1.6784003834589625,-0.014306411560812249
2023-10-12 00:00:00+00:00,1.6194080450714097,-0.00034646776464075657,1.6422535413757235,1.6799392456204136,0.00153886216145116
2023-10-13 00:00:00+00:00,1.6188930712048557,-0.0005149738665539694,1.6380642412224231,1.671106694807468,-0.00883255081294565
2023-10-14 00:00:00+00:00,1.625055323329177,0.006162252124321199,1.6380642412224231,1.674654328748807,0.0035476339413389457
2023-10-15 00:00:00+00:00,1.625055323329177,0.0,1.6384528775026248,1.674654328748807,0.0
2023-10-16 00:00:00+00:00,1.625636012002873,0.0005806886736960948,1.6364205837639874,1.6764234372147233,0.0017691084659163803
2023-10-17 00:00:00+00:00,1.6172076496984609,-0.00842836230441213,1.6197545128360504,1.6711743865019109,-0.005249050712812453
2023-10-18 00:00:00+00:00,1.6171381890602885,-6.946063817236947e-05,1.6194080450714097,1.6728558059029683,0.0016814194010574823
2023-10-19 00:00:00+00:00,1.6213269568265138,0.004188767766225343,1.6188930712048557,1.673730153247162,0.0008743473441936711
2023-10-20 00:00:00+00:00,1.6223245222571778,0.0009975654306639825,1.625055323329177,1.6792717635318817,0.005541610284719667
2023-10-21 00:00:00+00:00,1.6163042848513776,-0.006020237405800266,1.625055323329177,1.6740076830834003,-0.0052640804484813675
2023-10-22 00:00:00+00:00,1.6163042848513776,0.0,1.625636012002873,1.6740076830834003,0.0
2023-10-23 00:00:00+00:00,1.6159764892736828,-0.0003277955776948005,1.6172076496984609,1.6733024565001415,-0.0007052265832587779
2023-10-24 00:00:00+00:00,1.6122838588840191,-0.0036926303896636092,1.6171381890602885,1.6771339433867518,0.0038314868866102803
2023-10-25 00:00:00+00:00,1.608006889008318,-0.004276969875701253,1.6213269568265138,1.6658031228825103,-0.011330820504241501
2023-10-26 00:00:00+00:00,1.6086776234876916,0.0006707344793737136,1.6223245222571778,1.6638276080197345,-0.001975514862775807
2023-10-27 00:00:00+00:00,1.606784394968537,-0.0018932285191546327,1.6163042848513776,1.6616507838810346,-0.0021768241386999065
2023-10-28 00:00:00+00:00,1.6124234512744664,0.005639056305929424,1.6163042848513776,1.6674803798279694,0.0058295959469347736
2023-10-29 00:00:00+00:00,1.6124234512744664,0.0,1.6159764892736828,1.6674803798279694,0.0
2023-10-30 00:00:00+00:00,1.6122938304152976,-0.00012962085916878863,1.6122838588840191,1.6671613888183572,-0.0003189910096121906
2023-10-31 00:00:00+00:00,1.6188930712048557,0.006599240789558092,1.608006889008318,1.6784825159162624,0.011321127097905226
2023-11-01 00:00:00+00:00,1.6165525433195078,-0.0023405278853478872,1.6086776234876916,1.672696239472779,-0.005786276443483507
2023-11-02 00:00:00+00:00,1.6002659785513895,-0.016286564768118295,1.606784394968537,1.6572123228050286,-0.015483916667750286
2023-11-03 00:00:00+00:00,1.6002659785513895,0.0,1.6124234512744664,1.6599960366502715,0.0027837138452428967
2023-11-04 00:00:00+00:00,1.5897758752546671,-0.010490103296722397,1.6124234512744664,1.6602336830772355,0.00023764642696399996
2023-11-05 00:00:00+00:00,1.5897758752546671,0.0,1.6122938304152976,1.6602336830772355,0.0
2023-11-06 00:00:00+00:00,1.5894800730931544,-0.0002958021615127038,1.6188930712048557,1.6601253233113007,-0.00010835976593481789
2023-11-07 00:00:00+00:00,1.5863228049280491,-0.003157268165105309,1.6165525433195078,1.6557564532288462,-0.004368870082454457
2023-11-08 00:00:00+00:00,1.5836892424113227,-0.0026335625167264176,1.6002659785513895,1.6509732524629384,-0.00478320076590788
2023-11-09 00:00:00+00:00,1.5914368613245478,0.007747618913225063,1.6002659785513895,1.660030261216669,0.009057008753730722
2023-11-10 00:00:00+00:00,1.596241217839709,0.004804356515161201,1.5897758752546671,1.6608114036058028,0.0007811423891337377
