date,usd,log,diff,eur
2023-09-22 00:00:00+00:00,4.9369,1.596737603855868,,1.660697406250418
2023-09-23 00:00:00+00:00,4.9369,1.596737603855868,0.0,1.6595243788976877
2023-09-25 00:00:00+00:00,4.9354,1.5964337232988464,-0.0015,1.659219965471466
2023-09-26 00:00:00+00:00,4.97045,1.603510379269301,0.03505,1.6610241639055336
2023-09-27 00:00:00+00:00,4.98725,1.6068846556463832,0.0168000000000008,1.6622238922122952
2023-09-28 00:00:00+00:00,5.0442,1.618239068387169,0.0569499999999996,1.6676011545982667
2023-09-29 00:00:00+00:00,5.0346,1.6163340791219418,-0.0095999999999998,1.6710107903958855
2023-09-30 00:00:00+00:00,5.03425,1.6162645577763777,-0.00035,1.6721723071137924
2023-10-02 00:00:00+00:00,5.0325,1.6159168785318094,-0.0017500000000003,1.6706891614081345
2023-10-03 00:00:00+00:00,5.0637,1.6220974413808549,0.0312000000000001,1.6689814795331597
2023-10-04 00:00:00+00:00,5.1677,1.6424277152597575,0.104,1.6882620317765304
2023-10-05 00:00:00+00:00,5.1555,1.6400641059758612,-0.0121999999999999,1.6895200039474678
2023-10-06 00:00:00+00:00,5.1668,1.6422535413757235,0.0113000000000003,1.6954155886724855
2023-10-07 00:00:00+00:00,5.1452,1.6380642412224231,-0.0216000000000002,1.6950117566684515
2023-10-09 00:00:00+00:00,5.1472,1.6384528775026248,0.0019999999999997,1.6936044132649053
2023-10-10 00:00:00+00:00,5.13675,1.6364205837639874,-0.0104499999999996,1.6927067950197747
2023-10-11 00:00:00+00:00,5.05185,1.6197545128360504,-0.0849000000000002,1.6784003834589625
2023-10-12 00:00:00+00:00,5.0501,1.6194080450714097,-0.0017500000000003,1.6799392456204136
2023-10-13 00:00:00+00:00,5.0475,1.6188930712048557,-0.0025999999999992,1.671106694807468
2023-10-14 00:00:00+00:00,5.0787,1.625055323329177,0.0312000000000001,1.674654328748807
2023-10-16 00:00:00+00:00,5.08165,1.625636012002873,0.0029499999999993,1.6764234372147233
2023-10-17 00:00:00+00:00,5.039,1.6172076496984609,-0.04265,1.6711743865019109
2023-10-18 00:00:00+00:00,5.03865,1.6171381890602885,-0.00035,1.6728558059029683
2023-10-19 00:00:00+00:00,5.0598,1.6213269568265138,0.0211500000000004,1.673730153247162
2023-10-20 00:00:00+00:00,5.06485,1.6223245222571778,0.0050499999999997,1.6792717635318817
2023-10-21 00:00:00+00:00,5.03445,1.6163042848513776,-0.0304000000000002,1.6740076830834003
2023-10-23 00:00:00+00:00,5.0328,1.6159764892736828,-0.0016499999999997,1.6733024565001415
2023-10-24 00:00:00+00:00,5.01425,1.6122838588840191,-0.0185500000000002,1.6771339433867518
2023-10-25 00:00:00+00:00,4.99285,1.608006889008318,-0.0213999999999998,1.6658031228825103
2023-10-26 00:00:00+00:00,4.9962,1.6086776234876916,0.0033500000000001,1.6638276080197345
2023-10-27 00:00:00+00:00,4.98675,1.606784394968537,-0.0094500000000001,1.6616507838810346
2023-10-28 00:00:00+00:00,5.01495,1.6124234512744664,0.0282,1.6674803798279694
2023-10-30 00:00:00+00:00,5.0143,1.6122938304152976,-0.0006499999999993,1.6671613888183572
2023-10-31 00:00:00+00:00,5.0475,1.6188930712048557,0.0331999999999998,1.6784825159162624
2023-11-01 00:00:00+00:00,5.0357,1.6165525433195078,-0.0118,1.672696239472779
2023-11-02 00:00:00+00:00,4.95435,1.6002659785513895,-0.0813500000000004,1.6572123228050286
2023-11-03 00:00:00+00:00,4.95435,1.6002659785513895,0.0,1.6599960366502715
2023-11-04 00:00:00+00:00,4.90265,1.5897758752546671,-0.0516999999999994,1.6602336830772355
2023-11-06 00:00:00+00:00,4.9012,1.5894800730931544,-0.0014500000000001,1.6601253233113007
2023-11-07 00:00:00+00:00,4.88575,1.5863228049280491,-0.0154500000000004,1.6557564532288462
2023-11-08 00:00:00+00:00,4.8729,1.5836892424113227,-0.0128500000000002,1.6509732524629384
2023-11-09 00:00:00+00:00,4.9108,1.5914368613245478,0.0379000000000004,1.660030261216669
2023-11-10 00:00:00+00:00,4.93445,1.596241217839709,0.0236499999999999,1.6608114036058028
2023-11-11 00:00:00+00:00,4.90175,1.589592284213394,-0.0327000000000001,1.6557545437514414
2023-11-13 00:00:00+00:00,4.90175,1.589592284213394,0.0,1.6564092807395046
2023-11-14 00:00:00+00:00,4.90795,1.5908563393477098,0.0061999999999997,1.6587022498798991
2023-11-15 00:00:00+00:00,4.8659,1.582251693389783,-0.0420499999999997,1.6665004327875268
2023-11-16 00:00:00+00:00,4.8626,1.5815732742857955,-0.0033000000000003,1.6634297624429812
2023-11-17 00:00:00+00:00,4.8636,1.581778904440126,0.0010000000000003,1.663681749685803
2023-11-18 00:00:00+00:00,4.9064,1.5905404753296368,0.0427999999999997,1.677909314646247
2023-11-20 00:00:00+00:00,4.9064,1.5905404753296368,0.0,1.6773600775862143
2023-11-21 00:00:00+00:00,4.8548,1.579967906250069,-0.0515999999999996,1.6702658077067334
2023-11-22 00:00:00+00:00,4.9011,1.589459669718435,0.0462999999999995,1.677195621421821
2023-11-23 00:00:00+00:00,4.9072,1.5907035143778498,0.0060999999999999,1.6757798065167666
2023-11-24 00:00:00+00:00,4.9044,1.590132761376095,-0.0027999999999996,1.6767226592396969
2023-11-25 00:00:00+00:00,4.9035,1.589949235850238,-0.0008999999999996,1.6798814645082971
2023-11-27 00:00:00+00:00,4.9035,1.589949235850238,0.0,1.6797901262631398
2023-11-28 00:00:00+00:00,4.8969,1.588602351845962,-0.0066000000000006,1.6800864791675636
