date,eur,log,diff,lag2
2024-06-24,5.80422,1.7585852391967465,-0.0042699999999999,
2024-06-25,5.78578,1.7554031830173695,-0.01844,
2024-06-26,5.83903,1.7645646871542748,0.0532500000000002,1.7585852391967465
2024-06-27,5.89968,1.7748981121526433,0.0606499999999998,1.7554031830173695
2024-06-28,5.89095,1.7734172749801904,-0.0087299999999999,1.7645646871542748
2024-07-01,6.00382,1.7923959333084816,0.0107400000000001,1.7748981121526433
2024-07-02,6.07372,1.803971267437858,0.0698999999999996,1.7734172749801904
2024-07-03,6.1016,1.808551031867892,0.0278800000000005,1.7923959333084816
2024-07-04,5.99754,1.791349385155074,-0.1040600000000004,1.803971267437858
2024-07-05,5.93378,1.7806614466953414,-0.0637600000000002,1.808551031867892
2024-07-08,5.92816,1.7797138781828536,0.0099600000000004,1.791349385155074
2024-07-09,5.92689,1.7794996234973215,-0.0012699999999998,1.7806614466953414
2024-07-10,5.86092,1.7683065878532775,-0.06597,1.7797138781828536
2024-07-11,5.86764,1.7694525087055144,0.0067199999999996,1.7794996234973215
2024-07-12,5.91453,1.7774120352707805,0.0468900000000003,1.7683065878532775
2024-07-15,5.9081,1.776324290727647,-0.0134699999999998,1.7694525087055144
2024-07-16,5.93756,1.7812982745728598,0.0294600000000002,1.7774120352707805
2024-07-17,5.91559,1.7775912388634467,-0.0219700000000004,1.776324290727647
2024-07-18,6.00612,1.7927789493815207,0.0905300000000002,1.7812982745728598
2024-07-19,6.04372,1.7990197164015636,0.0376000000000003,1.7775912388634467
2024-07-22,6.07924,1.8048796881649245,-0.0132299999999991,1.7927789493815207
2024-07-23,6.06757,1.8029581954288727,-0.0116700000000005,1.7990197164015636
2024-07-24,6.06107,1.8018863521517547,-0.0064999999999999,1.8048796881649245
2024-07-25,6.129,1.8130316045035944,0.0679299999999996,1.8029581954288727
2024-07-26,6.12578,1.8125060952616328,-0.0032199999999997,1.8018863521517547
2024-07-29,6.13933,1.8147156156838011,-0.0011499999999999,1.8130316045035944
2024-07-30,6.07577,1.8043087301658332,-0.0635599999999998,1.8125060952616328
2024-07-31,6.07009,1.8033734319796095,-0.0056799999999999,1.8147156156838011
2024-08-01,6.12433,1.812269362692412,0.0542399999999991,1.8043087301658332
2024-08-02,6.20364,1.8251362165513527,0.0793100000000004,1.8033734319796095
2024-08-05,6.24986,1.8325590634974265,0.0002699999999995,1.812269362692412
2024-08-06,6.26714,1.835320110230296,0.0172800000000004,1.8251362165513527
2024-08-07,6.18085,1.821455802464853,-0.0862899999999999,1.8325590634974265
2024-08-08,6.16044,1.8181482035659584,-0.02041,1.835320110230296
2024-08-09,6.05421,1.8007538978076314,-0.10623,1.821455802464853
2024-08-12,6.00946,1.7933348942607568,-0.0041099999999998,1.8181482035659584
2024-08-13,6.00753,1.793013682373821,-0.0019299999999997,1.8007538978076314
2024-08-14,6.00123,1.7919644482184265,-0.0063000000000004,1.7933348942607568
2024-08-15,6.02379,1.7957166293321802,0.0225600000000003,1.793013682373821
2024-08-16,6.01984,1.7950606808944367,-0.0039499999999996,1.7919644482184265
2024-08-19,6.03283,1.7972162207092122,-0.0009200000000006,1.7957166293321802
2024-08-20,5.99326,1.7906355044829312,-0.0395699999999994,1.7950606808944367
2024-08-21,6.09742,1.8078657308906672,0.1041599999999993,1.7972162207092122
2024-08-22,6.11707,1.811083223713016,0.0196500000000003,1.7906355044829312
2024-08-23,6.21662,1.8272263506911264,0.0995499999999998,1.8078657308906672
